time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,126.74,128.65,126.74,127.74,27501,32901.85,2.585329576,1.89697E+11,1.11985E+11,77712268006,28.2835887,6.758669366,99725000,880188000,ERIE
2018-09-14,127.73,129.48,127.55,128.59,30636,33270.3,2.568240143,1.81112E+11,1.08036E+11,73076389085,28.47179169,6.803642507,99725000,880188000,ERIE
2018-09-17,128.67,129.49,128.11,129.13,20222,33587.2,2.557500194,1.81112E+11,1.08036E+11,73076389085,28.59135595,6.832213679,99725000,880188000,ERIE
2018-09-18,129.14,129.85,127.88,129.07,15421,33604.1,2.558689083,1.87093E+11,1.09392E+11,77700875137,28.57807103,6.829039104,99725000,880188000,ERIE
2018-09-19,129.01,129.99,128.64,128.93,29638,34458.3,2.561467463,1.8863E+11,1.10372E+11,78258099244,28.54707289,6.821631763,99725000,880188000,ERIE
2018-09-20,129.33,130.36,129.33,129.55,30146,35254.95,2.5492088,1.99616E+11,1.12192E+11,87424189239,28.68435037,6.854435701,99725000,880188000,ERIE
2018-09-21,129.75,129.99,128.1401,128.74,110596,40261.45,2.565247786,2.04518E+11,1.13771E+11,90747627086,28.50500399,6.811578943,99725000,880188000,ERIE
2018-09-24,128.67,129.75,127.42,127.42,32047,40909.6,2.59182232,2.04518E+11,1.13771E+11,90747627086,28.21273581,6.741738302,99725000,880188000,ERIE
2018-09-25,127.64,128.45,126.54,126.54,32333,41146.25,2.609846689,2.01204E+11,1.11148E+11,90056087859,28.01789036,6.695177874,99725000,880188000,ERIE
2018-09-26,126.56,127.69,125.97,126.5,22366,40449.7,2.610671937,2.01772E+11,1.11721E+11,90050276795,28.00903374,6.693061491,99725000,880188000,ERIE
2018-09-27,126.03,127.63,126.03,126.5,25832,40444.95,2.610671937,2.1143E+11,1.15539E+11,95891491506,28.00903374,6.693061491,99725000,880188000,ERIE
2018-09-28,126.1,128.21,123.05,127.53,31066,39453.35,2.589586764,2.0951E+11,1.13681E+11,95828541867,25.83985087,6.448393135,99727000,921023000,ERIE
2018-10-01,127.77,127.77,125,125.55,38131,32053.9,2.630426125,2.0951E+11,1.13681E+11,95828541867,25.43866759,6.34827694,99727000,921023000,ERIE
2018-10-02,125.6,126.63,125.03,126.63,25719,31842.95,2.607991787,2.04957E+11,1.1246E+11,92496364311,25.65749483,6.402885773,99727000,921023000,ERIE
2018-10-03,126.13,126.7,124.37,125.8,29255,31680.75,2.625198728,2.03099E+11,1.11724E+11,91375173810,25.48932204,6.360917873,99727000,921023000,ERIE
2018-10-04,125.79,126.18,124.28,125.98,26825,31549.45,2.621447849,2.05578E+11,1.13307E+11,92271291174,25.52579325,6.370019346,99727000,921023000,ERIE
2018-10-05,124.93,125.83,123.96,123.96,35207,31750.6,2.710551791,2.07347E+11,1.14341E+11,93006604153,25.11650525,6.267880601,99727000,921023000,ERIE
2018-10-08,123.9,125.7,122.28,125.34,33601,32183.55,2.680708473,2.07347E+11,1.14341E+11,93006604153,25.39611784,6.337658555,99727000,921023000,ERIE
2018-10-09,125.35,127.68,125.24,125.88,71931,34170.9,2.66920877,2.05913E+11,1.14076E+11,91837405142,25.50553147,6.364962972,99727000,921023000,ERIE
2018-10-10,126.07,127.095,124.3,124.44,31836,35015.45,2.700096432,2.03231E+11,1.12853E+11,90377739133,25.2137618,6.292151194,99727000,921023000,ERIE
2018-10-11,124.44,125.47,122.26,122.27,42607,35770.75,2.748016684,1.83485E+11,1.06549E+11,76935661677,24.77408113,6.182427889,99727000,921023000,ERIE
2018-10-12,123.64,124.42,120.74,121.99,28466,35662.25,2.754324125,1.94991E+11,1.11598E+11,83392610781,24.71734814,6.168270043,99727000,921023000,ERIE
2018-10-15,121.78,121.96,120.15,121.22,30248,36163.55,2.771819832,1.94991E+11,1.11598E+11,83392610781,24.56133241,6.129335967,99727000,921023000,ERIE
2018-10-16,121.71,124.18,121.71,124.11,30646,36924.8,2.707275804,1.97345E+11,1.11946E+11,85398685609,25.14689792,6.275465161,99727000,921023000,ERIE
2018-10-17,124.11,125.92,123.81,125.19,26039,36744.85,2.683920441,1.97017E+11,1.11543E+11,85474334522,25.36572517,6.330073995,99727000,921023000,ERIE
