,date,text,sentiment,title,Ticker
0,"Tue, 12 Nov 2019 12:08:38 -0500",Universal Corporation's (UVV) CEO George Freeman on Q2 2020 Results - Earnings Call Transcript,Neutral,Universal Corporation's (UVV) CEO George Freeman on Q2 2020 Results - Earnings Call Transcript,UVV
1,"Wed, 16 Oct 2019 10:03:25 -0400","Despite public opinion turning against tobacco, these three tobacco stocks have high dividends and potential to profit from marijuana.",Positive,3 Top Tobacco Stocks Still Burning Strong,UVV
2,"Mon, 14 Oct 2019 11:38:03 -0400",Universal Corporation is a prominent player in the beleaguered tobacco sector.,Positive,Is Universal Corporation A Buy?,UVV
3,"Wed, 28 Aug 2019 11:56:00 -0400","With growth prospects and healthy dividend income, there's a tobacco stock that fits well in nearly any investor's portfolio.",Positive,5 Top Tobacco Stocks to Buy Now,UVV
4,"Wed, 07 Aug 2019 19:04:07 -0400",Universal Corporation (UVV) CEO George Freeman on Q1 2020 Results - Earnings Call Transcript,Neutral,Universal Corporation (UVV) CEO George Freeman on Q1 2020 Results - Earnings Call Transcript,UVV
5,"Sat, 20 Jul 2019 12:04:00 -0400","There aren't a huge number of U.S.-listed stocks with a tobacco focus, but these companies still combine to be a force in the global industry.",Positive,The 9 Biggest Tobacco Stocks,UVV
6,"Thu, 23 May 2019 16:32:00 -0400",Find out how these elite winners managed to avoid a plunging market.,Positive,"Why L Brands, Universal, and Maxar Technologies Jumped Today",UVV
7,"Wed, 22 May 2019 20:42:08 -0400",Universal Corporation (UVV) CEO George Freeman on Q4 2019 Results - Earnings Call Transcript,Neutral,Universal Corporation (UVV) CEO George Freeman on Q4 2019 Results - Earnings Call Transcript,UVV
8,"Wed, 23 Jan 2019 19:00:00 -0500","Former Yahoo CEO Carol Bartz discusses her investment in cannabis through Caliva on CNBC's ""Squawk Alley"".",Neutral,"Cannabis is the new tech, says former Yahoo CEO",UVV
