,date,text,sentiment,title,Ticker
0,"Sun, 10 Nov 2019 03:53:05 -0500",Front Yard Residential Corporation (RESI) CEO George Ellison on Q3 2019 Results - Earnings Call Transcript,Neutral,Front Yard Residential Corporation (RESI) CEO George Ellison on Q3 2019 Results - Earnings Call Transcript,RESI
1,"Wed, 06 Nov 2019 08:55:07 -0500","Front Yard Residential (RESI) delivered FFO and revenue surprises of -100.00% and -3.67%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Neutral,Front Yard Residential (RESI) Reports Break-Even FFO for Q3,RESI
2,"Fri, 20 Sep 2019 17:00:00 -0400","CHRISTIANSTED, U.S. Virgin Islands, Sept.  20, 2019  (GLOBE NEWSWIRE) -- Front Yard Residential Corporation (“Front Yard” or the “Company”) (NYSE: RESI) announced today that its Board of Directors has declared a quarterly cash dividend of $0.15 per share of common stock. Front Yard will pay this quarterly dividend on October 11, 2019 to all stockholders of record as of the close of business on September 30, 2019.",Neutral,Front Yard Residential Corporation Announces Quarterly Cash Dividend,RESI
3,"Wed, 07 Aug 2019 14:01:28 -0400",Front Yard Residential Corporation (RESI) CEO George Ellison on Q2 2019 Results - Earnings Call Transcript,Neutral,Front Yard Residential Corporation (RESI) CEO George Ellison on Q2 2019 Results - Earnings Call Transcript,RESI
4,"Wed, 22 May 2019 10:33:00 -0400","Front Yard Residential (RESI) saw a big move last session, as its shares jumped nearly 7% on the day, amid huge volumes.",Positive,Front Yard Residential (RESI) Jumps: Stock Rises 6.8%,RESI
5,"Wed, 15 May 2019 10:00:21 -0400","It is well-known that over long-time periods, REITs have consistently achieved higher returns than stocks and bonds.",Positive,"Why REITs Outperform Stocks, And 3 Strong Buys In May 2019",RESI
6,"Wed, 08 May 2019 14:23:09 -0400",Front Yard Residential Corporation's (RESI) CEO George Ellison on Q1 2019 Results - Earnings Call Transcript,Neutral,Front Yard Residential Corporation's (RESI) CEO George Ellison on Q1 2019 Results - Earnings Call Transcript,RESI
